История перемещений робота
Формат: {A, V, U}
[196] {A=286.48, V=5, U=2}
[197] {A=286.48, V=5, U=2}
[198] {A=286.48, V=5, U=2}
[199] {A=286.48, V=6, U=1}
[200] {A=286.48, V=6, U=1}
[201] {A=286.48, V=6, U=1}
[202] {A=286.48, V=6, U=1}
[203] {A=229.18, V=6, U=0}
[204] {A=229.18, V=5, U=0}
[205] {A=229.18, V=5, U=0}
[206] {A=229.18, V=5, U=0}
[207] {A=229.18, V=5, U=0}
[208] {A=286.48, V=5, U=2}
[209] {A=286.48, V=5, U=2}
[210] {A=286.48, V=5, U=2}
[211] {A=286.48, V=5, U=2}
[212] {A=286.48, V=5, U=2}
[213] {A=229.18, V=6, U=0}
[214] {A=229.18, V=5, U=0}
[215] {A=229.18, V=5, U=0}
[216] {A=229.18, V=5, U=2}
[217] {A=229.18, V=5, U=0}
[218] {A=229.18, V=5, U=0}
[219] {A=229.18, V=5, U=0}
[220] {A=286.48, V=5, U=2}
[221] {A=286.48, V=5, U=2}
[222] {A=286.48, V=5, U=2}
[223] {A=286.48, V=5, U=2}
[224] {A=286.48, V=5, U=2}
[225] {A=229.18, V=6, U=0}
[226] {A=229.18, V=5, U=0}
[227] {A=229.18, V=5, U=0}
[228] {A=229.18, V=5, U=0}
[229] {A=229.18, V=5, U=0}
[230] {A=229.18, V=5, U=0}
[231] {A=286.48, V=4, U=2}
[232] {A=286.48, V=5, U=2}
[233] {A=286.48, V=5, U=2}
[234] {A=286.48, V=5, U=2}
[235] {A=286.48, V=5, U=2}
[236] {A=286.48, V=5, U=2}
[237] {A=286.48, V=6, U=1}
[238] {A=286.48, V=6, U=1}
[239] {A=229.18, V=6, U=0}
[240] {A=229.18, V=5, U=0}
[241] {A=229.18, V=5, U=0}
[242] {A=229.18, V=5, U=1}
[243] {A=229.18, V=5, U=0}
[244] {A=229.18, V=5, U=0}
[245] {A=286.48, V=5, U=2}
[246] {A=286.48, V=5, U=2}
[247] {A=286.48, V=5, U=2}
[248] {A=286.48, V=5, U=2}
[249] {A=286.48, V=5, U=2}
[250] {A=229.18, V=6, U=0}
[251] {A=229.18, V=5, U=0}
[252] {A=229.18, V=5, U=0}
[253] {A=229.18, V=5, U=0}
[254] {A=229.18, V=5, U=0}
[255] {A=229.18, V=5, U=0}
[256] {A=286.48, V=4, U=2}
[257] {A=286.48, V=5, U=2}
[258] {A=286.48, V=5, U=2}
[259] {A=286.48, V=5, U=2}
[260] {A=286.48, V=5, U=1}
[261] {A=286.48, V=5, U=2}
[262] {A=286.48, V=5, U=2}
[263] {A=286.48, V=6, U=1}
[264] {A=229.18, V=6, U=0}
[265] {A=229.18, V=5, U=0}
[266] {A=229.18, V=5, U=0}
[267] {A=229.18, V=5, U=0}
[268] {A=229.18, V=5, U=0}
[269] {A=286.48, V=5, U=2}
[270] {A=286.48, V=5, U=2}
[271] {A=286.48, V=5, U=2}
[272] {A=286.48, V=5, U=2}
[273] {A=286.48, V=5, U=1}
[274] {A=286.48, V=5, U=2}
[275] {A=229.18, V=6, U=0}
[276] {A=229.18, V=5, U=0}
[277] {A=229.18, V=5, U=0}
[278] {A=229.18, V=5, U=0}
[279] {A=229.18, V=5, U=2}
[280] {A=229.18, V=5, U=0}
[281] {A=286.48, V=5, U=2}
[282] {A=286.48, V=5, U=2}
[283] {A=286.48, V=5, U=2}
[284] {A=229.18, V=5, U=0}
[285] {A=229.18, V=5, U=0}
[286] {A=229.18, V=5, U=0}
[287] {A=286.48, V=5, U=2}
[288] {A=286.48, V=5, U=2}
[289] {A=229.18, V=5, U=0}
[290] {A=286.48, V=5, U=2}
[291] {A=229.18, V=5, U=0}
[292] {A=286.48, V=5, U=2}
[293] {A=229.18, V=5, U=0}
[294] {A=286.48, V=5, U=2}
[295] {A=229.18, V=5, U=0}
[296] {A=286.48, V=5, U=2}
[297] {A=229.18, V=5, U=0}
[298] {A=286.48, V=5, U=2}
[299] {A=229.18, V=5, U=0}
[300] {A=286.48, V=5, U=2}
[301] {A=229.18, V=5, U=0}
[302] {A=286.48, V=5, U=2}
[303] {A=229.18, V=5, U=0}
[304] {A=286.48, V=5, U=2}
[305] {A=229.18, V=5, U=0}
[306] {A=286.48, V=5, U=2}
[307] {A=229.18, V=5, U=0}
[308] {A=286.48, V=5, U=2}
[309] {A=229.18, V=5, U=0}
[310] {A=229.18, V=5, U=0}
[311] {A=286.48, V=5, U=2}
[312] {A=286.48, V=5, U=2}
[313] {A=286.48, V=5, U=2}
[314] {A=229.18, V=5, U=0}
[315] {A=229.18, V=5, U=0}
[316] {A=229.18, V=5, U=0}
[317] {A=286.48, V=5, U=2}
[318] {A=286.48, V=5, U=2}
[319] {A=286.48, V=5, U=2}
[320] {A=229.18, V=5, U=0}
[321] {A=229.18, V=5, U=0}
[322] {A=229.18, V=5, U=0}
[323] {A=286.48, V=5, U=2}
[324] {A=286.48, V=5, U=2}
[325] {A=286.48, V=5, U=2}
[326] {A=229.18, V=5, U=0}
[327] {A=229.18, V=5, U=0}
[328] {A=229.18, V=5, U=0}
[329] {A=286.48, V=5, U=2}
[330] {A=286.48, V=5, U=2}
[331] {A=286.48, V=5, U=2}
[332] {A=229.18, V=5, U=0}
[333] {A=229.18, V=5, U=0}
[334] {A=229.18, V=5, U=0}
[335] {A=286.48, V=5, U=2}
[336] {A=286.48, V=5, U=2}
[337] {A=286.48, V=5, U=2}
[338] {A=229.18, V=5, U=0}
[339] {A=229.18, V=5, U=0}
[340] {A=229.18, V=5, U=0}
[341] {A=286.48, V=5, U=2}
[342] {A=286.48, V=5, U=2}
[343] {A=286.48, V=5, U=2}
[344] {A=229.18, V=5, U=0}
[345] {A=229.18, V=5, U=1}
[346] {A=229.18, V=5, U=0}
[347] {A=229.18, V=5, U=0}
[348] {A=286.48, V=5, U=2}
[349] {A=286.48, V=5, U=2}
[350] {A=286.48, V=5, U=2}
[351] {A=229.18, V=5, U=0}
[352] {A=229.18, V=5, U=0}
[353] {A=229.18, V=5, U=0}
[354] {A=286.48, V=5, U=2}
[355] {A=286.48, V=5, U=2}
[356] {A=286.48, V=5, U=2}
[357] {A=229.18, V=5, U=0}
[358] {A=229.18, V=5, U=0}
[359] {A=229.18, V=5, U=0}
[360] {A=286.48, V=5, U=2}
[361] {A=286.48, V=5, U=2}
[362] {A=286.48, V=5, U=2}
[363] {A=229.18, V=5, U=0}
[364] {A=229.18, V=5, U=0}
[365] {A=229.18, V=5, U=0}
[366] {A=286.48, V=5, U=2}
[367] {A=286.48, V=5, U=2}
[368] {A=286.48, V=5, U=2}
[369] {A=229.18, V=5, U=0}
[370] {A=229.18, V=5, U=0}
[371] {A=229.18, V=5, U=0}
[372] {A=286.48, V=5, U=2}
[373] {A=286.48, V=5, U=2}
[374] {A=286.48, V=5, U=2}
[375] {A=229.18, V=5, U=0}
[376] {A=229.18, V=5, U=0}
[377] {A=229.18, V=5, U=0}
[378] {A=286.48, V=5, U=2}
[379] {A=286.48, V=5, U=2}
[380] {A=286.48, V=5, U=2}
[381] {A=229.18, V=5, U=0}
[382] {A=229.18, V=5, U=0}
[383] {A=286.48, V=5, U=2}
[384] {A=229.18, V=5, U=0}
[385] {A=286.48, V=5, U=2}
[386] {A=229.18, V=5, U=0}
[387] {A=286.48, V=5, U=2}
[388] {A=229.18, V=5, U=0}
[389] {A=286.48, V=5, U=2}
[390] {A=229.18, V=5, U=0}
[391] {A=286.48, V=5, U=2}
[392] {A=229.18, V=5, U=0}
[393] {A=286.48, V=5, U=2}
[394] {A=229.18, V=5, U=0}
[395] {A=286.48, V=5, U=2}
[396] {A=286.48, V=5, U=2}
[397] {A=229.18, V=5, U=0}
[398] {A=229.18, V=5, U=0}
[399] {A=229.18, V=5, U=0}
[400] {A=286.48, V=5, U=2}
[401] {A=286.48, V=5, U=2}
[402] {A=286.48, V=5, U=2}
[403] {A=229.18, V=5, U=0}
[404] {A=229.18, V=5, U=0}
[405] {A=229.18, V=5, U=0}
[406] {A=286.48, V=5, U=2}
[407] {A=286.48, V=5, U=2}
[408] {A=286.48, V=5, U=2}
[409] {A=229.18, V=5, U=0}
[410] {A=229.18, V=5, U=0}
[411] {A=229.18, V=5, U=0}
[412] {A=286.48, V=5, U=2}
[413] {A=286.48, V=5, U=2}
[414] {A=286.48, V=5, U=2}
[415] {A=229.18, V=5, U=0}
[416] {A=229.18, V=5, U=0}
[417] {A=229.18, V=5, U=0}
[418] {A=286.48, V=5, U=2}
[419] {A=286.48, V=5, U=2}
[420] {A=286.48, V=5, U=2}
[421] {A=229.18, V=5, U=0}
[422] {A=229.18, V=5, U=0}
[423] {A=229.18, V=5, U=0}
[424] {A=286.48, V=5, U=2}
[425] {A=286.48, V=5, U=2}
[426] {A=286.48, V=5, U=2}
[427] {A=229.18, V=5, U=0}
[428] {A=229.18, V=5, U=0}
[429] {A=229.18, V=5, U=0}
[430] {A=286.48, V=5, U=2}
[431] {A=286.48, V=5, U=2}
[432] {A=286.48, V=5, U=2}
[433] {A=229.18, V=5, U=0}
[434] {A=229.18, V=5, U=0}
[435] {A=229.18, V=5, U=0}
[436] {A=286.48, V=5, U=2}
[437] {A=286.48, V=5, U=2}
[438] {A=286.48, V=5, U=2}
[439] {A=229.18, V=5, U=0}
[440] {A=229.18, V=5, U=0}
[441] {A=229.18, V=5, U=0}
[442] {A=286.48, V=5, U=2}
[443] {A=286.48, V=5, U=2}
[444] {A=286.48, V=5, U=2}
[445] {A=229.18, V=5, U=0}
[446] {A=229.18, V=5, U=0}
[447] {A=229.18, V=5, U=0}
[448] {A=286.48, V=5, U=2}
[449] {A=286.48, V=5, U=2}
[450] {A=286.48, V=5, U=2}
[451] {A=229.18, V=5, U=2}
[452] {A=229.18, V=6, U=0}
[453] {A=229.18, V=5, U=0}
[454] {A=229.18, V=5, U=0}
[455] {A=229.18, V=5, U=0}
[456] {A=229.18, V=5, U=0}
[457] {A=229.18, V=5, U=0}
[458] {A=286.48, V=4, U=2}
[459] {A=286.48, V=5, U=2}
[460] {A=286.48, V=5, U=2}
[461] {A=286.48, V=5, U=2}
[462] {A=286.48, V=5, U=2}
[463] {A=286.48, V=5, U=2}
[464] {A=286.48, V=6, U=1}
[465] {A=286.48, V=6, U=1}
[466] {A=229.18, V=6, U=0}
[467] {A=229.18, V=5, U=0}
[468] {A=229.18, V=5, U=0}
[469] {A=229.18, V=5, U=0}
[470] {A=229.18, V=5, U=0}
[471] {A=286.48, V=5, U=2}
[472] {A=286.48, V=5, U=2}
[473] {A=286.48, V=5, U=2}
[474] {A=286.48, V=5, U=2}
[475] {A=286.48, V=5, U=2}
[476] {A=229.18, V=6, U=0}
[477] {A=229.18, V=5, U=0}
[478] {A=229.18, V=5, U=0}
[479] {A=229.18, V=5, U=0}
[480] {A=286.48, V=5, U=2}
[481] {A=286.48, V=5, U=2}
[482] {A=286.48, V=5, U=2}
[483] {A=229.18, V=5, U=0}
[484] {A=229.18, V=5, U=0}
[485] {A=229.18, V=5, U=0}
[486] {A=286.48, V=5, U=2}
[487] {A=286.48, V=5, U=2}
[488] {A=286.48, V=5, U=2}
[489] {A=229.18, V=5, U=0}
[490] {A=229.18, V=5, U=0}
[491] {A=229.18, V=5, U=0}
[492] {A=286.48, V=5, U=2}
[493] {A=286.48, V=5, U=2}
[494] {A=286.48, V=5, U=2}
[495] {A=286.48, V=5, U=2}
[496] {A=229.18, V=6, U=0}
[497] {A=229.18, V=5, U=0}
[498] {A=229.18, V=5, U=0}
[499] {A=229.18, V=5, U=0}
[500] {A=229.18, V=5, U=0}
[501] {A=286.48, V=5, U=2}
[502] {A=286.48, V=5, U=2}
[503] {A=286.48, V=5, U=2}
[504] {A=286.48, V=5, U=2}
[505] {A=286.48, V=5, U=2}
[506] {A=229.18, V=6, U=0}
[507] {A=229.18, V=5, U=0}
[508] {A=229.18, V=5, U=0}
[509] {A=229.18, V=5, U=0}
[510] {A=229.18, V=5, U=0}
[511] {A=286.48, V=5, U=2}
[512] {A=286.48, V=5, U=2}
[513] {A=286.48, V=5, U=2}
[514] {A=286.48, V=5, U=2}
[515] {A=286.48, V=5, U=2}
[516] {A=229.18, V=6, U=0}
[517] {A=229.18, V=5, U=0}
[518] {A=229.18, V=5, U=0}
[519] {A=229.18, V=5, U=0}
[520] {A=229.18, V=5, U=0}
[521] {A=286.48, V=5, U=2}
[522] {A=286.48, V=5, U=2}
[523] {A=286.48, V=5, U=2}
[524] {A=286.48, V=5, U=2}
[525] {A=286.48, V=5, U=2}
[526] {A=286.48, V=6, U=1}
[527] {A=229.18, V=6, U=0}
[528] {A=229.18, V=5, U=0}
[529] {A=229.18, V=5, U=0}
[530] {A=229.18, V=5, U=0}
[531] {A=229.18, V=5, U=0}
[532] {A=286.48, V=5, U=2}
[533] {A=286.48, V=5, U=2}
[534] {A=286.48, V=5, U=2}
[535] {A=286.48, V=5, U=2}
[536] {A=286.48, V=5, U=2}
[537] {A=229.18, V=6, U=0}
[538] {A=229.18, V=5, U=0}
[539] {A=229.18, V=5, U=0}
[540] {A=229.18, V=5, U=0}
[541] {A=229.18, V=5, U=0}
[542] {A=286.48, V=5, U=2}
[543] {A=286.48, V=5, U=2}
[544] {A=286.48, V=5, U=2}
[545] {A=286.48, V=5, U=2}
[546] {A=286.48, V=5, U=2}
[547] {A=229.18, V=6, U=0}
[548] {A=229.18, V=5, U=0}
[549] {A=229.18, V=5, U=0}
[550] {A=229.18, V=5, U=0}
[551] {A=229.18, V=5, U=0}
[552] {A=286.48, V=5, U=2}
[553] {A=286.48, V=5, U=2}
[554] {A=286.48, V=5, U=2}
[555] {A=286.48, V=5, U=2}
[556] {A=286.48, V=5, U=2}
[557] {A=286.48, V=6, U=1}
[558] {A=229.18, V=6, U=0}
[559] {A=229.18, V=5, U=0}
[560] {A=229.18, V=5, U=0}
[561] {A=229.18, V=5, U=0}
[562] {A=229.18, V=5, U=0}
[563] {A=286.48, V=5, U=2}
[564] {A=286.48, V=5, U=2}
[565] {A=286.48, V=5, U=2}
[566] {A=286.48, V=5, U=2}
[567] {A=286.48, V=5, U=2}
[568] {A=229.18, V=6, U=0}
[569] {A=229.18, V=5, U=0}
[570] {A=229.18, V=5, U=0}
[571] {A=229.18, V=5, U=0}
[572] {A=229.18, V=5, U=0}
[573] {A=286.48, V=5, U=2}
[574] {A=286.48, V=5, U=2}
[575] {A=286.48, V=5, U=2}
[576] {A=286.48, V=5, U=2}
[577] {A=286.48, V=5, U=2}
[578] {A=229.18, V=6, U=0}
[579] {A=229.18, V=5, U=0}
[580] {A=229.18, V=5, U=0}
[581] {A=229.18, V=5, U=0}
[582] {A=229.18, V=5, U=0}
[583] {A=286.48, V=5, U=2}
[584] {A=286.48, V=5, U=2}
[585] {A=286.48, V=5, U=2}
[586] {A=286.48, V=5, U=2}
[587] {A=286.48, V=5, U=2}
[588] {A=286.48, V=6, U=1}
[589] {A=229.18, V=6, U=0}
[590] {A=229.18, V=5, U=0}
[591] {A=229.18, V=5, U=0}
[592] {A=229.18, V=5, U=0}
[593] {A=229.18, V=5, U=0}
[594] {A=286.48, V=5, U=2}
[595] {A=286.48, V=5, U=2}
[596] {A=286.48, V=5, U=2}
[597] {A=286.48, V=5, U=2}
[598] {A=286.48, V=5, U=2}
[599] {A=229.18, V=6, U=0}
[600] {A=229.18, V=5, U=0}
[601] {A=229.18, V=5, U=0}
[602] {A=229.18, V=5, U=0}
[603] {A=229.18, V=5, U=0}
[604] {A=286.48, V=5, U=2}
[605] {A=286.48, V=5, U=2}
[606] {A=286.48, V=5, U=2}
[607] {A=286.48, V=5, U=2}
[608] {A=286.48, V=5, U=2}
[609] {A=229.18, V=6, U=0}
[610] {A=229.18, V=5, U=0}
[611] {A=229.18, V=5, U=0}
[612] {A=229.18, V=5, U=0}
[613] {A=286.48, V=5, U=2}
[614] {A=286.48, V=5, U=2}
[615] {A=286.48, V=5, U=2}
[616] {A=229.18, V=5, U=0}
[617] {A=229.18, V=5, U=0}
[618] {A=229.18, V=5, U=0}
[619] {A=286.48, V=5, U=2}
[620] {A=286.48, V=5, U=2}
[621] {A=286.48, V=5, U=2}
[622] {A=229.18, V=5, U=0}
[623] {A=229.18, V=5, U=0}
[624] {A=229.18, V=5, U=0}
[625] {A=286.48, V=5, U=2}
[626] {A=286.48, V=5, U=2}
[627] {A=286.48, V=5, U=2}
[628] {A=286.48, V=5, U=2}
[629] {A=229.18, V=6, U=0}
[630] {A=229.18, V=5, U=0}
[631] {A=229.18, V=5, U=0}
[632] {A=229.18, V=5, U=0}
[633] {A=229.18, V=5, U=0}
[634] {A=286.48, V=5, U=2}
[635] {A=286.48, V=5, U=2}
[636] {A=286.48, V=5, U=2}
[637] {A=286.48, V=5, U=2}
[638] {A=286.48, V=5, U=2}
[639] {A=229.18, V=6, U=0}
[640] {A=229.18, V=5, U=0}
[641] {A=229.18, V=5, U=0}
[642] {A=229.18, V=5, U=0}
[643] {A=229.18, V=5, U=0}
[644] {A=286.48, V=5, U=2}
[645] {A=286.48, V=5, U=2}
[646] {A=286.48, V=5, U=2}
[647] {A=286.48, V=5, U=2}
[648] {A=286.48, V=5, U=2}
[649] {A=286.48, V=6, U=1}
[650] {A=229.18, V=6, U=0}
[651] {A=229.18, V=5, U=0}
[652] {A=229.18, V=5, U=0}
[653] {A=229.18, V=5, U=0}
[654] {A=229.18, V=5, U=0}
[655] {A=286.48, V=5, U=2}
[656] {A=286.48, V=5, U=2}
[657] {A=286.48, V=5, U=2}
[658] {A=286.48, V=5, U=2}
[659] {A=286.48, V=5, U=2}
[660] {A=229.18, V=6, U=0}
[661] {A=229.18, V=5, U=0}
[662] {A=229.18, V=5, U=0}
[663] {A=229.18, V=5, U=0}
[664] {A=229.18, V=5, U=0}
[665] {A=286.48, V=5, U=2}
[666] {A=286.48, V=5, U=2}
[667] {A=286.48, V=5, U=2}
[668] {A=286.48, V=5, U=2}
[669] {A=286.48, V=5, U=2}
[670] {A=229.18, V=6, U=0}
[671] {A=229.18, V=5, U=0}
[672] {A=229.18, V=5, U=0}
[673] {A=229.18, V=5, U=0}
[674] {A=286.48, V=5, U=2}
[675] {A=286.48, V=5, U=2}
[676] {A=286.48, V=5, U=2}
[677] {A=229.18, V=5, U=0}
[678] {A=229.18, V=5, U=0}
[679] {A=229.18, V=5, U=0}
[680] {A=286.48, V=5, U=2}
[681] {A=286.48, V=5, U=2}
[682] {A=286.48, V=5, U=2}
[683] {A=229.18, V=5, U=0}
[684] {A=229.18, V=5, U=0}
[685] {A=286.48, V=5, U=2}
[686] {A=229.18, V=5, U=0}
[687] {A=286.48, V=5, U=2}
[688] {A=229.18, V=5, U=0}
[689] {A=286.48, V=5, U=2}
[690] {A=286.48, V=5, U=2}
[691] {A=229.18, V=5, U=0}
[692] {A=229.18, V=5, U=0}
[693] {A=229.18, V=5, U=0}
[694] {A=286.48, V=5, U=2}
[695] {A=286.48, V=5, U=2}
[696] {A=286.48, V=5, U=2}
[697] {A=229.18, V=5, U=0}
[698] {A=229.18, V=5, U=0}
[699] {A=229.18, V=5, U=0}
[700] {A=286.48, V=5, U=2}
[701] {A=286.48, V=5, U=2}
[702] {A=286.48, V=5, U=2}
[703] {A=286.48, V=5, U=2}
[704] {A=229.18, V=6, U=0}
[705] {A=229.18, V=5, U=0}
[706] {A=229.18, V=5, U=0}
[707] {A=229.18, V=5, U=0}
[708] {A=229.18, V=5, U=0}
[709] {A=286.48, V=5, U=2}
[710] {A=286.48, V=5, U=2}
[711] {A=286.48, V=5, U=2}
[712] {A=286.48, V=5, U=2}
[713] {A=286.48, V=5, U=2}
[714] {A=229.18, V=6, U=0}
[715] {A=229.18, V=5, U=0}
[716] {A=229.18, V=5, U=0}
[717] {A=229.18, V=5, U=0}
[718] {A=229.18, V=5, U=0}
[719] {A=286.48, V=5, U=2}
[720] {A=286.48, V=5, U=2}
[721] {A=286.48, V=5, U=2}
[722] {A=286.48, V=5, U=2}
[723] {A=286.48, V=5, U=2}
[724] {A=229.18, V=6, U=0}
[725] {A=229.18, V=5, U=0}
[726] {A=229.18, V=5, U=0}
[727] {A=229.18, V=5, U=0}
[728] {A=286.48, V=5, U=2}
[729] {A=286.48, V=5, U=2}
[730] {A=286.48, V=5, U=2}
[731] {A=229.18, V=5, U=0}
[732] {A=229.18, V=5, U=0}
